year,category,location,commute
2005,local,Columbia,18.2
2006,local,Columbia,17.3
2007,local,Columbia,18.3
2008,local,Columbia,18.5
2009,local,Columbia,18.5
2010,local,Columbia,18.6
2011,local,Columbia,20.2
2012,local,Columbia,17.9
2013,local,Columbia,16.6
2005,Missouri, Branson,24
2006,Missouri, Branson,22.9
2007,Missouri, Branson,21.7
2008,Missouri, Branson,20.9
2009,Missouri, Branson,23
2010,Missouri, Branson,24.2
2011,Missouri, Branson,22.8
2012,Missouri, Branson,22.7
2013,Missouri, Branson,21.2
2005,Missouri, Cape Girardeau,20.3
2006,Missouri, Cape Girardeau,20.6
2007,Missouri, Cape Girardeau,21
2008,Missouri, Cape Girardeau,21
2009,Missouri, Cape Girardeau,20.4
2010,Missouri, Cape Girardeau,19.7
2011,Missouri, Cape Girardeau,20.9
2012,Missouri, Cape Girardeau,20.7
2013,Missouri, Cape Girardeau,21.5
2005,Missouri, Columbia,18.2
2006,Missouri, Columbia,17.3
2007,Missouri, Columbia,18.3
2008,Missouri, Columbia,18.5
2009,Missouri, Columbia,18.5
2010,Missouri, Columbia,18.6
2011,Missouri, Columbia,20.2
2012,Missouri, Columbia,17.9
2013,Missouri, Columbia,16.6
2005,Missouri,Farmington,null
2006,Missouri,Farmington,null
2007,Missouri,Farmington,null
2008,Missouri,Farmington,null
2009,Missouri,Farmington,null
2010,Missouri,Farmington,24
2011,Missouri,Farmington,24.4
2012,Missouri,Farmington,24.9
2013,Missouri,Farmington,28.1
2005,Missouri, Fayetteville-Springdale-Rogers,21
2006,Missouri, Fayetteville-Springdale-Rogers,21.3
2007,Missouri, Fayetteville-Springdale-Rogers,21.1
2008,Missouri, Fayetteville-Springdale-Rogers,21.5
2009,Missouri, Fayetteville-Springdale-Rogers,20.6
2010,Missouri, Fayetteville-Springdale-Rogers,21.3
2011,Missouri, Fayetteville-Springdale-Rogers,20.7
2012,Missouri, Fayetteville-Springdale-Rogers,21.1
2013,Missouri, Fayetteville-Springdale-Rogers,20.6
2005,Missouri,Jefferson City,20
2006,Missouri,Jefferson City,20.8
2007,Missouri,Jefferson City,19.9
2008,Missouri,Jefferson City,20.2
2009,Missouri,Jefferson City,19.9
2010,Missouri,Jefferson City,19.4
2011,Missouri,Jefferson City,19.1
2012,Missouri,Jefferson City,19.8
2013,Missouri,Jefferson City,20.9
2005,Missouri,Joplin,19.2
2006,Missouri,Joplin,17.5
2007,Missouri,Joplin,19
2008,Missouri,Joplin,18.4
2009,Missouri,Joplin,20.1
2010,Missouri,Joplin,18.3
2011,Missouri,Joplin,18.4
2012,Missouri,Joplin,19.1
2013,Missouri,Joplin,20.5
2005,Missouri,Kansas City,22.4
2006,Missouri,Kansas City,22.7
2007,Missouri,Kansas City,22.8
2008,Missouri,Kansas City,22.9
2009,Missouri,Kansas City,22.6
2010,Missouri,Kansas City,22.5
2011,Missouri,Kansas City,22.9
2012,Missouri,Kansas City,22.7
2013,Missouri,Kansas City,22.9
2005,National,Alabama,23.4
2005,National,Alaska,18.3
2005,National,Arizona,24.8
2005,National,Arkansas,21
2005,National,California,27
2005,National,Colorado,23.5
2005,National,Connecticut,24.8
2005,National,Delaware,23.7
2005,National,District of Columbia,29.3
2005,National,Florida,26
2005,National,Georgia,27.2
2005,National,Hawaii,25.7
2005,National,Idaho,19.8
2005,National,Illinois,28.1
2005,National,Indiana,22.5
2005,National,Iowa,18.4
2005,National,Kansas,18.4
2005,National,Kentucky,22.5
2005,National,Louisiana,24.9
2005,National,Maine,23.3
2005,National,Maryland,30.8
2005,National,Massachusetts,27
2005,National,Michigan,23.5
2005,National,Minnesota,22.2
2005,National,Mississippi,23.5
2005,National,Missouri,23
2005,National,Montana,17.3
2005,National,Nebraska,17.9
2005,National,Nevada,23.3
2005,National,New Hampshire,25
2005,National,New Jersey,29.5
2005,National,New Mexico,21.2
2005,National,New York,31.2
2005,National,North Carolina,23.3
2005,National,North Dakota,16.3
2005,National,Ohio,22.4
2005,National,Oklahoma,20.1
2005,National,Oregon,21.9
2005,National,Pennsylvania,25.1
2005,National,Puerto Rico,30.4
2005,National,Rhode Island,22.7
2005,National,South Carolina,23.6
2005,National,South Dakota,16.6
2005,National,Tennessee,23.6
2005,National,Texas,24.6
2005,National,United States,25.1
2005,National,Utah,20.5
2005,National,Vermont,21.2
2005,National,Virginia,27
2005,National,Washington,24.7
2005,National,West Virginia,24.9
2005,National,Wisconsin,20.8
2005,National,Wyoming,17.3
2005,National,Columbia,18.2
2006,National,Alabama,23.6
2006,National,Alaska,17.7
2006,National,Arizona,25
2006,National,Arkansas,20.7
2006,National,California,26.8
2006,National,Colorado,23.9
2006,National,Connecticut,24.1
2006,National,Delaware,23.6
2006,National,District of Columbia,29.2
2006,National,Florida,25.9
2006,National,Georgia,27.3
2006,National,Hawaii,25.5
2006,National,Idaho,20.1
2006,National,Illinois,27.9
2006,National,Indiana,22.3
2006,National,Iowa,18.2
2006,National,Kansas,18.5
2006,National,Kentucky,22.4
2006,National,Louisiana,25.1
2006,National,Maine,22.3
2006,National,Maryland,30.6
2006,National,Massachusetts,26.6
2006,National,Michigan,23.4
2006,National,Minnesota,22
2006,National,Mississippi,24
2006,National,Missouri,22.9
2006,National,Montana,17.6
2006,National,Nebraska,17.7
2006,National,Nevada,24.2
2006,National,New Hampshire,24.6
2006,National,New Jersey,29.1
2006,National,New Mexico,20.9
2006,National,New York,30.9
2006,National,North Carolina,23.4
2006,National,North Dakota,15.5
2006,National,Ohio,22.1
2006,National,Oklahoma,20
2006,National,Oregon,21.8
2006,National,Pennsylvania,25
2006,National,Puerto Rico,29.7
2006,National,Rhode Island,22.3
2006,National,South Carolina,22.9
2006,National,South Dakota,15.9
2006,National,Tennessee,23.5
2006,National,Texas,24.6
2006,National,United States,25
2006,National,Utah,20.8
2006,National,Vermont,21.2
2006,National,Virginia,26.9
2006,National,Washington,25.2
2006,National,West Virginia,25.6
2006,National,Wisconsin,20.8
2006,National,Wyoming,17.9
2006,National,Columbia,17.3
2007,National,Alabama,24.1
2007,National,Alaska,18
2007,National,Arizona,25.1
2007,National,Arkansas,21
2007,National,California,27.3
2007,National,Colorado,24.2
2007,National,Connecticut,24.6
2007,National,Delaware,24
2007,National,District of Columbia,30.1
2007,National,Florida,25.9
2007,National,Georgia,27.1
2007,National,Hawaii,26.4
2007,National,Idaho,20.5
2007,National,Illinois,28.2
2007,National,Indiana,22.7
2007,National,Iowa,18.3
2007,National,Kansas,18.8
2007,National,Kentucky,22.2
2007,National,Louisiana,24.9
2007,National,Maine,22.7
2007,National,Maryland,31.1
2007,National,Massachusetts,27.4
2007,National,Michigan,23.9
2007,National,Minnesota,22.3
2007,National,Mississippi,23.9
2007,National,Missouri,23.5
2007,National,Montana,17.6
2007,National,Nebraska,17.6
2007,National,Nevada,23.5
2007,National,New Hampshire,25.3
2007,National,New Jersey,29.8
2007,National,New Mexico,21.5
2007,National,New York,31.5
2007,National,North Carolina,23.3
2007,National,North Dakota,16.1
2007,National,Ohio,22.8
2007,National,Oklahoma,20.6
2007,National,Oregon,22.1
2007,National,Pennsylvania,25.4
2007,National,Puerto Rico,29.9
2007,National,Rhode Island,23
2007,National,South Carolina,23.2
2007,National,South Dakota,16.3
2007,National,Tennessee,23.8
2007,National,Texas,25
2007,National,United States,25.3
2007,National,Utah,21.4
2007,National,Vermont,21.2
2007,National,Virginia,26.8
2007,National,Washington,25.9
2007,National,West Virginia,25.5
2007,National,Wisconsin,21.4
2007,National,Wyoming,18.6
2007,National,Columbia,18.3
2008,National,Alabama,24
2008,National,Alaska,18.4
2008,National,Arizona,25
2008,National,Arkansas,21.3
2008,National,California,27
2008,National,Colorado,24.6
2008,National,Connecticut,25.1
2008,National,Delaware,25
2008,National,District of Columbia,29.5
2008,National,Florida,25.9
2008,National,Georgia,27
2008,National,Hawaii,26.1
2008,National,Idaho,20.2
2008,National,Illinois,28.5
2008,National,Indiana,23.2
2008,National,Iowa,18.5
2008,National,Kansas,19.1
2008,National,Kentucky,22.6
2008,National,Louisiana,25.3
2008,National,Maine,23.3
2008,National,Maryland,31.5
